YEAR,ORIGIN_NAME,RUN_TYPE_NAME,SPECIES_NAME,RETURNS_FORECASTS_STOCK_NAME,IS_UPRIVER,FISH_ORIGIN_NAME,FIN_CLIP_NAME,COUNT,RETURNS_FORECASTS_COUNT_TYPE_NAME,RETURNS_FORECASTS_SOURCE_NAME,COMMENT,CREATED_BY,CREATED_DATETIME,LAST_MODIFIED_DATETIME,LAST_MODIFIED_BY
1980,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,7128,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1980,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,57692,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1981,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,6044,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1981,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,67401,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1982,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,6314,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1982,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,77246,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1983,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,7292,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1983,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,62912,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1984,Columbia River Mouth,Spring,Chinook,Upper Columbia Spring Chinook,TRUE,Wild,,6706,Actual,TAC,,ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
1984,Columbia River Mouth,Spring,Chinook,Upriver Spring Chinook,TRUE,Total,,52357,Actual,TAC,"Observered Jan 1- Jun 15, but forecasts were made on old Jan 1 - May 31 mgmt period, so not comparable.",ASMITH,12/21/2021 16:06,4/22/2022 9:02,Timothy.Sippel@dfw.wa.gov
